Freq.	V(n161)	V(n163)
2.00000000000000e+001	(-2.43533575825509e+001dB,1.59641299668818e+002°)	(-2.43534123772108e+001dB,-2.03594121463302e+001°)
2.04658598456151e+001	(-2.34552559120507e+001dB,1.58513715506569e+002°)	(-2.34553107067163e+001dB,-2.14870128890015e+001°)
2.09425709610180e+001	(-2.25185520630757e+001dB,1.57265193172946e+002°)	(-2.25186068577566e+001dB,-2.27355521893128e+001°)
2.14303861047521e+001	(-2.15390820546457e+001dB,1.55874391481014e+002°)	(-2.15391368493565e+001dB,-2.41263712431435e+001°)
2.19295639228637e+001	(-2.05120772662564e+001dB,1.54314625687966e+002°)	(-2.05121320610082e+001dB,-2.56861548024525e+001°)
2.24403690860393e+001	(-1.94320690520037e+001dB,1.52552111039369e+002°)	(-1.94321238468012e+001dB,-2.74486876310791e+001°)
2.29630724299377e+001	(-1.82927911196845e+001dB,1.50543489208956e+002°)	(-1.82928459145288e+001dB,-2.94573280649456e+001°)
2.34979510987906e+001	(-1.70870976115306e+001dB,1.48232293365482e+002°)	(-1.70871524064222e+001dB,-3.17685429451725e+001°)
2.40452886923483e+001	(-1.58069384163492e+001dB,1.45543828066053e+002°)	(-1.58069932112884e+001dB,-3.44570277247498e+001°)
2.46053754162476e+001	(-1.44434837614198e+001dB,1.42377677824680e+002°)	(-1.44435385564060e+001dB,-3.76231978999900e+001°)
2.51785082358833e+001	(-1.29875981881096e+001dB,1.38596718918323e+002°)	(-1.29876529831392e+001dB,-4.14041772045101e+001°)
2.57649910338627e+001	(-1.14310936194783e+001dB,1.34011234032016e+002°)	(-1.14311484145470e+001dB,-4.59896829641146e+001°)
2.63651347711281e+001	(-9.76966547926335e+000dB,1.28357168327034e+002°)	(-9.76972027436829e+000dB,-5.16437700286157e+001°)
2.69792576518331e+001	(-8.00931149858930e+000dB,1.21271024707116e+002°)	(-8.00936629373078e+000dB,-5.87299355056032e+001°)
2.76076852920577e+001	(-6.17928751874642e+000dB,1.12277202721723e+002°)	(-6.17934231392619e+000dB,-6.77237798572003e+001°)
2.82507508924551e+001	(-4.35435269762392e+000dB,1.00841117089210e+002°)	(-4.35440749284450e+000dB,-7.91598883769021e+001°)
2.89087954149185e+001	(-2.67879998879299e+000dB,8.66042618745008e+001°)	(-2.67885478405691e+000dB,-9.33967670119183e+001°)
2.95821677633641e+001	(-1.35183477322653e+000dB,6.98707186071197e+001°)	(-1.35188956853634e+000dB,-1.10130334245138e+002°)
3.02712249687242e+001	(-5.19181972650284e-001dB,5.19330287865471e+001°)	(-5.19236768008519e-001dB,-1.28068048589787e+002°)
3.09763323782496e+001	(-1.44380914803327e-001dB,3.44372762073904e+001°)	(-1.44435710212500e-001dB,-1.45563826264261e+002°)
3.16978638492223e+001	(-4.31787395223338e-002dB,1.82358773594103e+001°)	(-4.32335349850542e-002dB,-1.61765250792103e+002°)
3.24362019471786e+001	(-3.54399371776170e-002dB,3.09240370218635e+000°)	(-3.54947326964329e-002dB,-1.76908750727350e+002°)
3.31917381487512e+001	(-3.81334437396729e-002dB,-1.18423246631530e+001°)	(-3.81882393172548e-002dB,1.68156494017194e+002°)
3.39648730492349e+001	(-8.53036296210799e-002dB,-2.75134206349172e+001°)	(-8.53584252600516e-002dB,1.52485370528963e+002°)
3.47560165749875e+001	(-3.21570057146838e-001dB,-4.44850290882548e+001°)	(-3.21624852849968e-001dB,1.35513733918219e+002°)
3.55655882007784e+001	(-9.46473956676650e-001dB,-6.23932388527158e+001°)	(-9.46528752446623e-001dB,1.17605495340484e+002°)
3.63940171721997e+001	(-2.07394907347973e+000dB,-7.98199892769349e+001°)	(-2.07400386931914e+000dB,1.00178715431845e+002°)
3.72417427332573e+001	(-3.62608436872923e+000dB,-9.51892989326980e+001°)	(-3.62613916464042e+000dB,8.48093756048855e+001°)
3.81092143592649e+001	(-5.40846133783122e+000dB,-1.07779846389167e+002°)	(-5.40851613381601e+000dB,7.22187972744465e+001°)
3.89968919951609e+001	(-7.24768870775701e+000dB,-1.17736977056238e+002°)	(-7.24774350381625e+000dB,6.22616350142604e+001°)
3.99052462993776e+001	(-9.04194666806307e+000dB,-1.25563002258211e+002°)	(-9.04200146419611e+000dB,5.44355774832679e+001°)
4.08347588933906e+001	(-1.07459894626042e+001dB,-1.31770667525932e+002°)	(-1.07460442588090e+001dB,4.82278791334620e+001°)
4.17859226170808e+001	(-1.23460337400745e+001dB,-1.36770412300756e+002°)	(-1.23460885363503e+001dB,4.32281005059113e+001°)
