Freq.	V(out)
1.32138689601519e+002	(-2.10274710317606e+000dB,2.26033475831667e+001°)
1.35216595078396e+002	(-2.15534760321646e+000dB,3.21527074734989e+000°)
1.38366194183787e+002	(-2.13055425591794e+000dB,-1.59382411926281e+001°)
1.41589156876827e+002	(-2.06172768445593e+000dB,-3.61809462241228e+001°)
1.44887192014998e+002	(-2.07799257471627e+000dB,-5.84455331377865e+001°)
1.48262048260183e+002	(-2.34215894030476e+000dB,-8.27335407306905e+001°)
1.51715515005836e+002	(-2.90434376186272e+000dB,-1.08010711352589e+002°)
1.55249423325738e+002	(-3.60294679705557e+000dB,-1.33087211787872e+002°)
1.58865646944856e+002	(-4.16085918140031e+000dB,-1.57517255589136e+002°)
1.62566103232819e+002	(-4.35530207549794e+000dB,1.78477679410050e+002°)
1.66352754220534e+002	(-4.11337937702697e+000dB,1.54451170018756e+002°)
1.70227607640475e+002	(-3.53439859436990e+000dB,1.29962282564333e+002°)
1.74192717991216e+002	(-2.85832960425639e+000dB,1.04840910157532e+002°)
1.78250187626749e+002	(-2.35726783651175e+000dB,7.96466148897640e+001°)
1.82402167871181e+002	(-2.16318614360363e+000dB,5.56210443564103e+001°)
1.86650860159398e+002	(-2.19794477389204e+000dB,3.36888454623128e+001°)
1.90998517204287e+002	(-2.29305803295651e+000dB,1.36911110951940e+001°)
1.95447444191162e+002	(-2.32747193379561e+000dB,-5.39494509138196e+000°)
1.99999999999999e+002	(-2.27751086169860e+000dB,-2.49163801272716e+001°)
2.04658598456150e+002	(-2.22118924703811e+000dB,-4.60968974635552e+001°)
2.09425709610179e+002	(-2.31402997615117e+000dB,-6.95295658097945e+001°)
2.14303861047521e+002	(-2.68780546435963e+000dB,-9.47120919917264e+001°)
2.19295639228636e+002	(-3.29827081131572e+000dB,-1.20361808778765e+002°)
2.24403690860392e+002	(-3.90986420622784e+000dB,-1.45500667554115e+002°)
2.29630724299376e+002	(-4.25569842572154e+000dB,-1.69963874744555e+002°)
2.34979510987905e+002	(-4.18620150183728e+000dB,1.65923598785953e+002°)
2.40452886923482e+002	(-3.72428823440748e+000dB,1.41685536944188e+002°)
2.46053754162476e+002	(-3.05508620481387e+000dB,1.16919053889135e+002°)
2.51785082358833e+002	(-2.45516402958556e+000dB,9.17297617580926e+001°)
2.57649910338626e+002	(-2.14043569702101e+000dB,6.70664267944301e+001°)
2.63651347711281e+002	(-2.12434483187112e+000dB,4.41144473437016e+001°)
2.69792576518330e+002	(-2.25901558978038e+000dB,2.32172744594008e+001°)
2.76076852920576e+002	(-2.39026740545787e+000dB,3.65006598616241e+000°)
2.82507508924550e+002	(-2.44848604883807e+000dB,-1.58991071817343e+001°)
2.89087954149185e+002	(-2.46640987815087e+000dB,-3.68377994066284e+001°)
2.95821677633641e+002	(-2.56680193786763e+000dB,-6.02037300681922e+001°)
3.02712249687241e+002	(-2.89251834832279e+000dB,-8.61188342415229e+001°)
3.09763323782495e+002	(-3.45345431075808e+000dB,-1.13670509554409e+002°)
3.16978638492222e+002	(-4.03681154182613e+000dB,-1.41713523950377e+002°)
3.24362019471785e+002	(-4.33767444410600e+000dB,-1.69627856595696e+002°)
3.31917381487511e+002	(-4.17934297302226e+000dB,1.62745207522578e+002°)
3.39648730492348e+002	(-3.63192237017831e+000dB,1.35344090717621e+002°)
3.47560165749874e+002	(-2.97887999950503e+000dB,1.08187684973405e+002°)
3.55655882007783e+002	(-2.54689310033145e+000dB,8.19897423783597e+001°)
3.63940171721995e+002	(-2.47555818827047e+000dB,5.81522173740818e+001°)
3.72417427332572e+002	(-2.65416483405696e+000dB,3.76067235788598e+001°)
3.81092143592648e+002	(-2.88389285504623e+000dB,2.01048466720140e+001°)
3.89968919951608e+002	(-3.02000221445575e+000dB,4.62702163451612e+000°)
3.99052462993775e+002	(-2.99775134605821e+000dB,-1.00685662016045e+001°)
4.08347588933904e+002	(-2.81785094606009e+000dB,-2.52170253802215e+001°)
4.17859226170806e+002	(-2.54361818525282e+000dB,-4.19642055505750e+001°)
4.27592417900445e+002	(-2.30957729367759e+000dB,-6.11653953186745e+001°)
4.37552324789909e+002	(-2.29686623947167e+000dB,-8.29339294795750e+001°)
4.47744227713666e+002	(-2.61773475381613e+000dB,-1.06333933455365e+002°)
4.58173530553553e+002	(-3.18398428586647e+000dB,-1.29998768108853e+002°)
4.68845763063983e+002	(-3.74460995088830e+000dB,-1.53208386695746e+002°)
4.79766583803896e+002	(-4.04964669410111e+000dB,-1.76100983137329e+002°)
4.90941783137004e+002	(-3.96557350084014e+000dB,1.60808462464199e+002°)
5.02377286301914e+002	(-3.51717369317858e+000dB,1.37007252681895e+002°)
5.14079156553771e+002	(-2.88487296902842e+000dB,1.12236012736562e+002°)
5.26053598379074e+002	(-2.33424732088896e+000dB,8.68877520218902e+001°)
5.38306960785381e+002	(-2.05407160067678e+000dB,6.21667296840813e+001°)
5.50845740667631e+002	(-2.02833762047200e+000dB,3.92922363985566e+001°)
5.63676586252888e+002	(-2.10366932615620e+000dB,1.84931370948837e+001°)
5.76806300625319e+002	(-2.14177628596526e+000dB,-1.03308309278916e+000°)
5.90241845333275e+002	(-2.09625344035314e+000dB,-2.05788257270508e+001°)
6.03990344080401e+002	(-2.02590412721190e+000dB,-4.14252826268944e+001°)
6.18059086502716e+002	(-2.07867173611247e+000dB,-6.43393466186790e+001°)
6.32455532033673e+002	(-2.40808086581854e+000dB,-8.90577097470652e+001°)
6.47187313859254e+002	(-3.01842994808098e+000dB,-1.14409425393923e+002°)
6.62262242965179e+002	(-3.70678194227452e+000dB,-1.39349774513885e+002°)
6.77688312278402e+002	(-4.19511813448796e+000dB,-1.63655464720926e+002°)
6.93473700905060e+002	(-4.28864615552681e+000dB,1.72338941100119e+002°)
7.09626778467148e+002	(-3.95119664821315e+000dB,1.48162728124451e+002°)
7.26156109540200e+002	(-3.31674690346272e+000dB,1.23411660569353e+002°)
7.43070458194342e+002	(-2.64472980253656e+000dB,9.80609108217161e+001°)
7.60378792641119e+002	(-2.19061693638188e+000dB,7.28830401924644e+001°)
7.78090289988558e+002	(-2.03778228255091e+000dB,4.91565491692452e+001°)
7.96214341106991e+002	(-2.07462732660937e+000dB,2.75804321759743e+001°)
8.14760555608222e+002	(-2.13784351240204e+000dB,7.74258733389222e+000°)
8.33738766940667e+002	(-2.13221951659433e+000dB,-1.15058525586388e+001°)
8.53159037603181e+002	(-2.06576905944273e+000dB,-3.15130902090349e+001°)
8.73031664480328e+002	(-2.04776683588993e+000dB,-5.33597672198817e+001°)
8.93367184301922e+002	(-2.24408003112267e+000dB,-7.73160251484363e+001°)
9.14176379229746e+002	(-2.74566795359514e+000dB,-1.02558110520531e+002°)
9.35470282574392e+002	(-3.43838920611623e+000dB,-1.27843174756620e+002°)
9.57260184645272e+002	(-4.05435555628239e+000dB,-1.52541859685470e+002°)
9.79557638736888e+002	(-4.34337485032448e+000dB,-1.76771631131894e+002°)
1.00237446725454e+003	(-4.19110953746761e+000dB,1.59052199361701e+002°)
1.02572276798272e+003	(-3.65750270184981e+000dB,1.34493528528894e+002°)
1.04961492049954e+003	(-2.95864913673922e+000dB,1.09306694889295e+002°)
1.07406359274050e+003	(-2.37618864184316e+000dB,8.38733044496979e+001°)
1.09908174771524e+003	(-2.08788203545809e+000dB,5.93469595960138e+001°)
1.12468265038069e+003	(-2.05799823858314e+000dB,3.68096881776387e+001°)
1.15087987467431e+003	(-2.12559292229472e+000dB,1.63334485399972e+001°)
1.17768731071117e+003	(-2.15577093090371e+000dB,-2.97770332091643e+000°)
1.20511917214871e+003	(-2.10851959041870e+000dB,-2.24463192015091e+001°)
1.23319000372296e+003	(-2.04893401108419e+000dB,-4.33408980565488e+001°)
1.26191468896038e+003	(-2.12808397694543e+000dB,-6.63735233325264e+001°)
1.29130845806930e+003	(-2.49238477227716e+000dB,-9.12033848654231e+001°)
1.32138689601518e+003	(-3.12793794749123e+000dB,-1.16632963316466e+002°)
1.35216595078396e+003	(-3.81661912633536e+000dB,-1.41665841767509e+002°)
1.38366194183787e+003	(-4.27838889819815e+000dB,-1.66121852143119e+002°)
1.41589156876827e+003	(-4.32763852850664e+000dB,1.69671987903349e+002°)
1.44887192014997e+003	(-3.94495614993812e+000dB,1.45276267686934e+002°)
1.48262048260183e+003	(-3.28365825205157e+000dB,1.20325157678416e+002°)
1.51715515005836e+003	(-2.61482171609334e+000dB,9.48646901234647e+001°)
1.55249423325738e+003	(-2.18563073241885e+000dB,6.97501412383832e+001°)
1.58865646944855e+003	(-2.05615078819268e+000dB,4.62450466565395e+001°)
1.62566103232819e+003	(-2.10024521769467e+000dB,2.49240180928256e+001°)
1.66352754220533e+003	(-2.15688000933417e+000dB,5.25806707270999e+000°)
1.70227607640474e+003	(-2.14047456353826e+000dB,-1.39558373038474e+001°)
1.74192717991215e+003	(-2.06972922022595e+000dB,-3.40690691111962e+001°)
1.78250187626748e+003	(-2.06325626057426e+000dB,-5.61148611448538e+001°)
1.82402167871181e+003	(-2.28793441523010e+000dB,-8.02604134809409e+001°)
1.86650860159397e+003	(-2.81922153453493e+000dB,-1.05589088334741e+002°)
1.90998517204286e+003	(-3.52102706644145e+000dB,-1.30872482583785e+002°)
1.95447444191161e+003	(-4.11709735887378e+000dB,-1.55562685110452e+002°)
1.99999999999999e+003	(-4.36499681834092e+000dB,-1.79826376075663e+002°)
2.04658598456150e+003	(-4.16670061021666e+000dB,1.55913703144604e+002°)
2.09425709610179e+003	(-3.60115839768767e+000dB,1.31231872345338e+002°)
2.14303861047520e+003	(-2.89952520085067e+000dB,1.05929095791791e+002°)
2.19295639228636e+003	(-2.34335800718432e+000dB,8.04848959845648e+001°)
2.24403690860391e+003	(-2.08988485318297e+000dB,5.61108837269124e+001°)
2.29630724299375e+003	(-2.08099264683653e+000dB,3.38128897722742e+001°)
2.34979510987905e+003	(-2.15072915567840e+000dB,1.35308733636472e+001°)
2.40452886923481e+003	(-2.17211432542078e+000dB,-5.71571203474827e+000°)
2.46053754162475e+003	(-2.11646946647692e+000dB,-2.52763761345701e+001°)
2.51785082358832e+003	(-2.06034387311442e+000dB,-4.63975967974238e+001°)
2.57649910338625e+003	(-2.16185743333977e+000dB,-6.97064719614296e+001°)
2.63651347711280e+003	(-2.55924962745618e+000dB,-9.47387705308386e+001°)
2.69792576518329e+003	(-3.21451319058997e+000dB,-1.20248575408760e+002°)
2.76076852920575e+003	(-3.89103035188315e+000dB,-1.45306581324321e+002°)
2.82507508924549e+003	(-4.30984933105595e+000dB,-1.69807900603102e+002°)
2.89087954149184e+003	(-4.30074056258138e+000dB,1.65895801142975e+002°)
2.95821677633640e+003	(-3.86613436273008e+000dB,1.41364648942145e+002°)
3.02712249687240e+003	(-3.18081328482635e+000dB,1.16254865510654e+002°)
3.09763323782494e+003	(-2.52610306483559e+000dB,9.06971613692192e+001°)
3.16978638492221e+003	(-2.13554331964572e+000dB,6.56535525533475e+001°)
3.24362019471784e+003	(-2.04013094064424e+000dB,4.23706476993132e+001°)
3.31917381487510e+003	(-2.09764368542229e+000dB,2.12766715040151e+001°)
3.39648730492347e+003	(-2.15123376621699e+000dB,1.70561068267109e+000°)
3.47560165749873e+003	(-2.12849130029232e+000dB,-1.76143940898637e+001°)
3.55655882007782e+003	(-2.06366020666176e+000dB,-3.80433516678396e+001°)
3.63940171721994e+003	(-2.08926789559401e+000dB,-6.05481437567217e+001°)
3.72417427332571e+003	(-2.37143734393076e+000dB,-8.51466612948445e+001°)
3.81092143592647e+003	(-2.95747192023333e+000dB,-1.10807055209879e+002°)
3.89968919951606e+003	(-3.67467843560655e+000dB,-1.36359995903844e+002°)
3.99052462993773e+003	(-4.23306004819273e+000dB,-1.61393684547250e+002°)
4.08347588933903e+003	(-4.40360884192439e+000dB,1.73870724981204e+002°)
4.17859226170805e+003	(-4.12112471054467e+000dB,1.49039878927934e+002°)
4.27592417900444e+003	(-3.50786931788589e+000dB,1.23767605050226e+002°)
4.37552324789908e+003	(-2.82830551969390e+000dB,9.80362665361823e+001°)
4.47744227713665e+003	(-2.35371223237891e+000dB,7.25912497732971e+001°)
4.58173530553552e+003	(-2.18361739902067e+000dB,4.87133214822619e+001°)
4.68845763063981e+003	(-2.21219102938069e+000dB,2.71376882687488e+001°)
4.79766583803895e+003	(-2.27177957306521e+000dB,7.47675563837238e+000°)
4.90941783137003e+003	(-2.25819607605512e+000dB,-1.14215218171657e+001°)
5.02377286301913e+003	(-2.16804560289657e+000dB,-3.09438402493043e+001°)
5.14079156553769e+003	(-2.10037224601648e+000dB,-5.22791903507634e+001°)
5.26053598379073e+003	(-2.22546815449266e+000dB,-7.58899088945334e+001°)
5.38306960785379e+003	(-2.66575819426889e+000dB,-1.01101668084006e+002°)
5.50845740667629e+003	(-3.34279559106275e+000dB,-1.26611116738136e+002°)
5.63676586252887e+003	(-3.99213000538253e+000dB,-1.51617742353472e+002°)
5.76806300625317e+003	(-4.33755240588562e+000dB,-1.76140911113150e+002°)
5.90241845333273e+003	(-4.23155943895478e+000dB,1.59430613597297e+002°)
6.03990344080399e+003	(-3.70828620493312e+000dB,1.34663062881594e+002°)
6.18059086502713e+003	(-2.97368229357812e+000dB,1.09262559099993e+002°)
6.32455532033671e+003	(-2.32233051677755e+000dB,8.35047605598856e+001°)
6.47187313859252e+003	(-1.96467326272886e+000dB,5.85017254566820e+001°)
6.62262242965177e+003	(-1.89005731426588e+000dB,3.54399776884067e+001°)
6.77688312278400e+003	(-1.93773304553610e+000dB,1.45110826311158e+001°)
6.93473700905058e+003	(-1.96170799462376e+000dB,-5.15849092969481e+000°)
7.09626778467146e+003	(-1.91452278330533e+000dB,-2.49454680006665e+001°)
7.26156109540197e+003	(-1.86215587203190e+000dB,-4.61982366516412e+001°)
7.43070458194339e+003	(-1.96420528375290e+000dB,-6.96843245206204e+001°)
7.60378792641117e+003	(-2.37398796156357e+000dB,-9.50464536558368e+001°)
7.78090289988555e+003	(-3.06708196239420e+000dB,-1.21033738992841e+002°)
7.96214341106988e+003	(-3.79869844952758e+000dB,-1.46656423188752e+002°)
8.14760555608219e+003	(-4.26497385068309e+000dB,-1.71780471897838e+002°)
8.33738766940664e+003	(-4.27376774196139e+000dB,1.63266051474615e+002°)
8.53159037603179e+003	(-3.82344993410673e+000dB,1.38088229382818e+002°)
8.73031664480325e+003	(-3.10599617639317e+000dB,1.12385270853674e+002°)
8.93367184301919e+003	(-2.43010929337148e+000dB,8.63444918925226e+001°)
9.14176379229743e+003	(-2.04414397726378e+000dB,6.10277519746266e+001°)
9.35470282574389e+003	(-1.96923870348451e+000dB,3.77337902890596e+001°)
9.57260184645269e+003	(-2.04647221877654e+000dB,1.68117925330521e+001°)
9.79557638736884e+003	(-2.11280418508583e+000dB,-2.54764552412998e+000°)
1.00237446725454e+004	(-2.09899662704753e+000dB,-2.17563131965713e+001°)
1.02572276798272e+004	(-2.04785098815000e+000dB,-4.23068645403646e+001°)
1.04961492049954e+004	(-2.10492877640444e+000dB,-6.52810386798601e+001°)
1.07406359274050e+004	(-2.44503716237290e+000dB,-9.07346600634047e+001°)
1.09908174771524e+004	(-3.09494491859197e+000dB,-1.17577721735913e+002°)
1.12468265038069e+004	(-3.82192992389822e+000dB,-1.44560169550624e+002°)
1.15087987467430e+004	(-4.26821070971699e+000dB,-1.71109120420657e+002°)
1.17768731071117e+004	(-4.17503033448578e+000dB,1.62913182049330e+002°)
1.20511917214871e+004	(-3.50622452978971e+000dB,1.37480089309625e+002°)
1.23319000372295e+004	(-2.44246381300768e+000dB,1.12278505365000e+002°)
1.26191468896038e+004	(-1.29631616829299e+000dB,8.69242343032015e+001°)
1.29130845806930e+004	(-3.82019903204732e-001dB,6.16486377846637e+001°)
1.32138689601518e+004	(1.49661441726608e-001dB,3.74391597064919e+001°)
1.35216595078395e+004	(3.68623357656043e-001dB,1.50525398935277e+001°)
1.38366194183786e+004	(4.27781287035546e-001dB,-5.81136404148136e+000°)
1.41589156876826e+004	(4.06395902311613e-001dB,-2.62700310227858e+001°)
1.44887192014997e+004	(2.53277004168801e-001dB,-4.75672749326589e+001°)
1.48262048260182e+004	(-1.84863505864451e-001dB,-7.03962484520221e+001°)
1.51715515005835e+004	(-1.04357102774166e+000dB,-9.45154274894957e+001°)
1.55249423325737e+004	(-2.28172590342763e+000dB,-1.19287019257086e+002°)
1.58865646944855e+004	(-3.64737991267638e+000dB,-1.44833114287964e+002°)
1.62566103232818e+004	(-4.76205618877389e+000dB,-1.72267461865508e+002°)
1.66352754220533e+004	(-5.21196651193321e+000dB,1.57530470638304e+002°)
1.70227607640474e+004	(-4.76694279059731e+000dB,1.25401800987519e+002°)
1.74192717991215e+004	(-3.66910614840373e+000dB,9.34358553796403e+001°)
1.78250187626748e+004	(-2.47950114528248e+000dB,6.34042270798193e+001°)
1.82402167871180e+004	(-1.58770605708190e+000dB,3.66406672329293e+001°)
1.86650860159397e+004	(-1.00726290341535e+000dB,1.37825732045219e+001°)
1.90998517204286e+004	(-5.67819209326265e-001dB,-5.76775034799334e+000°)
1.95447444191160e+004	(-1.42099941185300e-001dB,-2.34574428207005e+001°)
2.00000000000000e+004	(2.69921303567950e-001dB,-4.09020696505420e+001°)
