Freq.	V(out)
2.00000000000000e+001	(-2.21041701996372e+000dB,1.01144747090956e+002°)
2.04658598456151e+001	(-9.67900371329006e-001dB,8.56417516022810e+001°)
2.09425709610180e+001	(-1.74191821110913e-001dB,6.80414057030995e+001°)
2.14303861047521e+001	(1.04992105886545e-001dB,4.98962139206545e+001°)
2.19295639228637e+001	(-4.21843086239533e-003dB,3.24963789390029e+001°)
2.24403690860393e+001	(-2.98666789590693e-001dB,1.60130393092037e+001°)
2.29630724299377e+001	(-6.34411297660010e-001dB,-3.38468752999232e-001°)
2.34979510987906e+001	(-9.75358997517225e-001dB,-1.77718209513925e+001°)
2.40452886923483e+001	(-1.39334553503898e+000dB,-3.74882469948363e+001°)
2.46053754162476e+001	(-2.03498797373588e+000dB,-6.01893515408419e+001°)
2.51785082358833e+001	(-3.00361720358274e+000dB,-8.56362189592094e+001°)
2.57649910338627e+001	(-4.18227704746587e+000dB,-1.12900151533502e+002°)
2.63651347711281e+001	(-5.20225928279188e+000dB,-1.41109527735210e+002°)
2.69792576518331e+001	(-5.65262154656846e+000dB,-1.69431907425632e+002°)
2.76076852920577e+001	(-5.36014103934936e+000dB,1.63150582097820e+002°)
2.82507508924551e+001	(-4.48331370551505e+000dB,1.37125157217852e+002°)
2.89087954149185e+001	(-3.37092381490504e+000dB,1.12075419398332e+002°)
2.95821677633641e+001	(-2.39139830760798e+000dB,8.75549596430502e+001°)
3.02712249687242e+001	(-1.79006217155880e+000dB,6.39788276490127e+001°)
3.09763323782496e+001	(-1.58084385672919e+000dB,4.22406394786976e+001°)
3.16978638492223e+001	(-1.60238561781515e+000dB,2.25974066998022e+001°)
3.24362019471786e+001	(-1.68209877568072e+000dB,4.33140198911502e+000°)
3.31917381487512e+001	(-1.73408653982105e+000dB,-1.38289215489069e+001°)
3.39648730492349e+001	(-1.77954947419044e+000dB,-3.32420612204425e+001°)
3.47560165749875e+001	(-1.93726961868079e+000dB,-5.49162035932386e+001°)
3.55655882007784e+001	(-2.36151554565922e+000dB,-7.89822617064004e+001°)
3.63940171721997e+001	(-3.09248169806089e+000dB,-1.04544366416912e+002°)
3.72417427332573e+001	(-3.94451038338761e+000dB,-1.30470423079471e+002°)
3.81092143592649e+001	(-4.59661074008993e+000dB,-1.56211718101423e+002°)
3.89968919951609e+001	(-4.78610193244684e+000dB,1.78320944851751e+002°)
3.99052462993776e+001	(-4.43966968715283e+000dB,1.53094296101534e+002°)
4.08347588933906e+001	(-3.69816604086787e+000dB,1.27929788295823e+002°)
4.17859226170808e+001	(-2.85137267971035e+000dB,1.02650580158949e+002°)
4.27592417900446e+001	(-2.20335949263456e+000dB,7.76491816014386e+001°)
4.37552324789910e+001	(-1.89907126387436e+000dB,5.39913759163514e+001°)
4.47744227713668e+001	(-1.86211176307022e+000dB,3.24856933737336e+001°)
4.58173530553554e+001	(-1.92102021685143e+000dB,1.29104515122183e+001°)
4.68845763063984e+001	(-1.95180976876545e+000dB,-5.79064658193335e+000°)
4.79766583803898e+001	(-1.93048243458374e+000dB,-2.49804360271112e+001°)
4.90941783137006e+001	(-1.93708873206823e+000dB,-4.58791867157691e+001°)
5.02377286301916e+001	(-2.12698290669096e+000dB,-6.90568938024514e+001°)
5.14079156553772e+001	(-2.62199547908180e+000dB,-9.40054723761428e+001°)
5.26053598379076e+001	(-3.35801302859867e+000dB,-1.19515970808264e+002°)
5.38306960785383e+001	(-4.07780808018352e+000dB,-1.44730281794440e+002°)
5.50845740667633e+001	(-4.49383849372473e+000dB,-1.69523539395899e+002°)
5.63676586252890e+001	(-4.44077446643818e+000dB,1.65882026008906e+002°)
5.76806300625321e+001	(-3.94002456168749e+000dB,1.41187049465175e+002°)
5.90241845333277e+001	(-3.18986349260570e+000dB,1.16112199828317e+002°)
6.03990344080403e+001	(-2.48557630307105e+000dB,9.07759248440395e+001°)
6.18059086502718e+001	(-2.06109635835094e+000dB,6.60805193651417e+001°)
6.32455532033675e+001	(-1.94299157506494e+000dB,4.31886127287043e+001°)
6.47187313859256e+001	(-1.98787105434517e+000dB,2.24632332377117e+001°)
6.62262242965182e+001	(-2.03989205378203e+000dB,3.21712929666399e+000°)
6.77688312278404e+001	(-2.02683020068906e+000dB,-1.58111062401644e+001°)
6.93473700905062e+001	(-1.98121235298840e+000dB,-3.59569884285820e+001°)
7.09626778467150e+001	(-2.03125454193091e+000dB,-5.81635556347630e+001°)
7.26156109540202e+001	(-2.33684602187708e+000dB,-8.24462982595989e+001°)
7.43070458194344e+001	(-2.94167906254243e+000dB,-1.07799253611813e+002°)
7.60378792641121e+001	(-3.67499843618770e+000dB,-1.33069903820973e+002°)
7.78090289988560e+001	(-4.24947527288379e+000dB,-1.57822518514412e+002°)
7.96214341106993e+001	(-4.43440688112699e+000dB,1.77769634293918e+002°)
8.14760555608224e+001	(-4.15723269677316e+000dB,1.53350896976084e+002°)
8.33738766940670e+001	(-3.52755239151728e+000dB,1.28560408520099e+002°)
8.53159037603184e+001	(-2.79877526905045e+000dB,1.03264535300606e+002°)
8.73031664480331e+001	(-2.25075708582237e+000dB,7.80219392165341e+001°)
8.93367184301925e+001	(-2.01557252922259e+000dB,5.40417736608492e+001°)
9.14176379229749e+001	(-2.01351914906420e+000dB,3.21932758564881e+001°)
9.35470282574395e+001	(-2.07760205646972e+000dB,1.22681763363179e+001°)
9.57260184645275e+001	(-2.09117288646695e+000dB,-6.78231465180525e+000°)
9.79557638736891e+001	(-2.03735939490485e+000dB,-2.63053613207948e+001°)
1.00237446725454e+002	(-2.00256589370551e+000dB,-4.74877661364552e+001°)
1.02572276798273e+002	(-2.14662693209609e+000dB,-7.08378527990164e+001°)
1.04961492049954e+002	(-2.59215062645414e+000dB,-9.57730897496219e+001°)
1.07406359274050e+002	(-3.27603131398444e+000dB,-1.21046972073439e+002°)
1.09908174771525e+002	(-3.95090883160195e+000dB,-1.45827783043482e+002°)
1.12468265038070e+002	(-4.34619737095245e+000dB,-1.70077333149334e+002°)
1.15087987467431e+002	(-4.30724992487822e+000dB,1.65846907431336e+002°)
1.17768731071118e+002	(-3.85043289680689e+000dB,1.41518751706133e+002°)
1.20511917214871e+002	(-3.15820774740779e+000dB,1.16611496612339e+002°)
1.23319000372296e+002	(-2.51050093461384e+000dB,9.12805479253632e+001°)
1.26191468896038e+002	(-2.13148736103607e+000dB,6.64964165323063e+001°)
1.29130845806931e+002	(-2.04341774329301e+000dB,4.34736717059564e+001°)
