Freq.	V(n145)	V(n147)
2.00000000000000e+001	(-4.32801446350200e+001dB,1.73272744750465e+002°)	(-4.32801994030380e+001dB,-6.72796706287218e+000°)
2.04658598456151e+001	(-4.27985449577511e+001dB,1.73082755266858e+002°)	(-4.27985997256360e+001dB,-6.91797312801047e+000°)
2.09425709610180e+001	(-4.23126885117945e+001dB,1.72885596479706e+002°)	(-4.23127432796413e+001dB,-7.11514888348951e+000°)
2.14303861047521e+001	(-4.18223306202896e+001dB,1.72680854372583e+002°)	(-4.18223853882397e+001dB,-7.31990835419028e+000°)
2.19295639228637e+001	(-4.13272100985776e+001dB,1.72468080115529e+002°)	(-4.13272648667351e+001dB,-7.53270037875001e+000°)
2.24403690860393e+001	(-4.08270478720621e+001dB,1.72246786264867e+002°)	(-4.08271026404679e+001dB,-7.75401241015874e+000°)
2.29630724299377e+001	(-4.03215454485084e+001dB,1.72016442455474e+002°)	(-4.03216002171714e+001dB,-7.98437482330691e+000°)
2.34979510987906e+001	(-3.98103832260256e+001dB,1.71776470505292e+002°)	(-3.98104379949519e+001dB,-8.22436581018229e+000°)
2.40452886923483e+001	(-3.92932186149714e+001dB,1.71526238838055e+002°)	(-3.92932733841635e+001dB,-8.47461695706037e+000°)
2.46053754162476e+001	(-3.87696839480008e+001dB,1.71265056111999e+002°)	(-3.87697387174275e+001dB,-8.73581961590604e+000°)
2.51785082358833e+001	(-3.82393841479542e+001dB,1.70992163910573e+002°)	(-3.82394389175249e+001dB,-9.00873221395535e+000°)
2.57649910338627e+001	(-3.77018941213214e+001dB,1.70706728314573e+002°)	(-3.77019488909186e+001dB,-9.29418868168641e+000°)
2.63651347711281e+001	(-3.71567558415236e+001dB,1.70407830172877e+002°)	(-3.71568106110638e+001dB,-9.59310818167192e+000°)
2.69792576518331e+001	(-3.66034750728690e+001dB,1.70094453860482e+002°)	(-3.66035298423156e+001dB,-9.90650635029963e+000°)
2.76076852920577e+001	(-3.60415176769879e+001dB,1.69765474214044e+002°)	(-3.60415724463255e+001dB,-1.02355083624202e+001°)
2.82507508924551e+001	(-3.54703054394603e+001dB,1.69419641269632e+002°)	(-3.54703602086749e+001dB,-1.05813641937946e+001°)
2.89087954149185e+001	(-3.48892113425135e+001dB,1.69055562368042e+002°)	(-3.48892661115954e+001dB,-1.09454665158563e+001°)
2.95821677633641e+001	(-3.42975541938382e+001dB,1.68671681089260e+002°)	(-3.42976089628080e+001dB,-1.13293717611575e+001°)
3.02712249687242e+001	(-3.36945925042556e+001dB,1.68266252340359e+002°)	(-3.36946472731833e+001dB,-1.17348250352301e+001°)
3.09763323782496e+001	(-3.30795174863728e+001dB,1.67837312749450e+002°)	(-3.30795722553496e+001dB,-1.21637897226070e+001°)
3.16978638492223e+001	(-3.24514450211312e+001dB,1.67382645298184e+002°)	(-3.24514997902230e+001dB,-1.26184828546644e+001°)
3.24362019471786e+001	(-3.18094064082099e+001dB,1.66899736839006e+002°)	(-3.18094611774509e+001dB,-1.31014175925236e+001°)
3.31917381487512e+001	(-3.11523376783437e+001dB,1.66385726767930e+002°)	(-3.11523924477544e+001dB,-1.36154545541508e+001°)
3.39648730492349e+001	(-3.04790671990233e+001dB,1.65837344628082e+002°)	(-3.04791219686234e+001dB,-1.41638642106800e+001°)
3.47560165749875e+001	(-2.97883012473198e+001dB,1.65250833758786e+002°)	(-2.97883560171247e+001dB,-1.47504032372868e+001°)
3.55655882007784e+001	(-2.90786071517703e+001dB,1.64621857206663e+002°)	(-2.90786619217695e+001dB,-1.53794086021933e+001°)
3.63940171721997e+001	(-2.83483935203935e+001dB,1.63945380873297e+002°)	(-2.83484482905398e+001dB,-1.60559144191891e+001°)
