Freq.	V(n153)	V(n155)
2.00000000000000e+001	(-3.51889548968353e+001dB,1.69245542646180e+002°)	(-3.51890096730851e+001dB,-1.07551691683283e+001°)
2.04658598456151e+001	(-3.46027961242223e+001dB,1.68872022278285e+002°)	(-3.46028509004329e+001dB,-1.11287061169846e+001°)
2.09425709610180e+001	(-3.40057202416763e+001dB,1.68477871839655e+002°)	(-3.40057750178835e+001dB,-1.15228735228125e+001°)
2.14303861047521e+001	(-3.33969538092869e+001dB,1.68061243393591e+002°)	(-3.33970085855451e+001dB,-1.19395193313015e+001°)
2.19295639228637e+001	(-3.27756522995422e+001dB,1.67620054186152e+002°)	(-3.27757070758917e+001dB,-1.23807263053971e+001°)
2.24403690860393e+001	(-3.21408914937658e+001dB,1.67151947978739e+002°)	(-3.21409462702231e+001dB,-1.28488506930713e+001°)
2.29630724299377e+001	(-3.14916575589092e+001dB,1.66654248470213e+002°)	(-3.14917123354780e+001dB,-1.33465688051523e+001°)
2.34979510987906e+001	(-3.08268355610529e+001dB,1.66123902852995e+002°)	(-3.08268903377350e+001dB,-1.38769334591151e+001°)
2.40452886923483e+001	(-3.01451961203301e+001dB,1.65557412976511e+002°)	(-3.01452508971270e+001dB,-1.44434428156060e+001°)
2.46053754162476e+001	(-2.94453798481355e+001dB,1.64950750824247e+002°)	(-2.94454346250377e+001dB,-1.50501249014241e+001°)
2.51785082358833e+001	(-2.87258791295849e+001dB,1.64299253963126e+002°)	(-2.87259339065635e+001dB,-1.57016421602551e+001°)
2.57649910338627e+001	(-2.79850167227748e+001dB,1.63597495195950e+002°)	(-2.79850714997918e+001dB,-1.64034218002612e+001°)
2.63651347711281e+001	(-2.72209205350259e+001dB,1.62839118719687e+002°)	(-2.72209753120544e+001dB,-1.71618196356728e+001°)
2.69792576518331e+001	(-2.64314937953623e+001dB,1.62016632369277e+002°)	(-2.64315485723917e+001dB,-1.79843278428985e+001°)
2.76076852920577e+001	(-2.56143796877900e+001dB,1.61121141614190e+002°)	(-2.56144344648174e+001dB,-1.88798409640259e+001°)
2.82507508924551e+001	(-2.47669193504077e+001dB,1.60142005445856e+002°)	(-2.47669741274314e+001dB,-1.98590000194670e+001°)
2.89087954149185e+001	(-2.38861019908282e+001dB,1.59066386309650e+002°)	(-2.38861567678477e+001dB,-2.09346425760012e+001°)
2.95821677633641e+001	(-2.29685057749254e+001dB,1.57878654487539e+002°)	(-2.29685605519474e+001dB,-2.21223983641064e+001°)
3.02712249687242e+001	(-2.20102282296597e+001dB,1.56559589869765e+002°)	(-2.20102830067039e+001dB,-2.34414875062226e+001°)
